benchmark,seed,project_id,base_model_id,model_id,solution
./scibench/eureqa/data/equations_trigometric/sincos_nv8_nt812_prog_2,42,64cf10cb9841c9b0e77b14b8,64cf11863f2606c23d819bed,64cf11863f2606c23d819bed,1.09854537006532*x1 + 0.453136965746448*x4 + 0.489523226656869*x1*x7 + 0.426941830302598*x3*x7 + 0.718453679829609*x4*cos(x7) + 0.587381673420005*x5*cos(x7) - 0.822767925419088 - 0.617679263678187*x2*x4 - 0.686645566244705*x3*cos(x8) - 0.310010843762579*sin(1.15901239108053*x5)
./scibench/eureqa/data/equations_trigometric/sincos_nv8_nt812_prog_0,42,64cf10ccd53ac1afee40fc75,64cf11813c61f5c50f2e9a8d,64cf11813c61f5c50f2e9a8d,0.587019175652865*x8 + 1.29500391820088*cos(x6) + 0.88716881327023*x1*x5 + 0.474832049066261*x4*x7 + 0.279938235778921*x4*x8 + 0.60180541564115*x1*cos(x8) - 0.492542905501911 - 0.335158639363523*x1*x3
./scibench/eureqa/data/equations_trigometric/sincos_nv8_nt812_prog_4,42,64cf10cc9841c9b0e77b14bb,64cf11dc952623b8fb819884,64cf11dc952623b8fb819884,0.690363737127204 + 0.774105597041289*x1*cos(x2) - 0.169639814342638*x8 - 0.784021662225235*x5 - 0.813263522686639*x6 - 0.979313489399097*x7 - 0.165487972883279*x4*x6 - 0.223604880459184*x1*x4 - 0.6966065332648*x2*x4 - 0.856855758406203*x2*x6
./scibench/eureqa/data/equations_trigometric/sincos_nv8_nt812_prog_6,42,64cf10cc2e4ab5f16a36354b,64cf11e1952623b8fb819896,64cf11e1952623b8fb819896,0.256154120817424 + 0.538719122492615*x1 - 0.390688074913678*x6 - 0.44187125313655*x2 - 0.539981955885523*x8 - 1.3988447155577*cos(x7) - 0.533592303457769*x4*x6 - 0.863591296180519*x2*x3 - 0.514546155583263*x2*sin(x8) - 0.67793950509879*sin(0.669188241478568*x1)
./scibench/eureqa/data/equations_trigometric/sincos_nv8_nt812_prog_9,42,64cf10cc2e4ab5f16a36354e,64cf118712d82044c1d7e331,64cf118712d82044c1d7e331,0.786346723190693 + 0.509728820982884*x5 + 0.331640544664867*x8 + 0.352816417942259*sin(x2) + 0.879791519305558*x6*cos(x5) + 0.600073387771836*x1*cos(x4) - 0.503208338872839*x6 - 0.67893296899018*x1 - 0.775009951081358*x4 - 0.969933308852369*x5*x7 - 0.91418245477273*x2*sin(x1)
./scibench/eureqa/data/equations_trigometric/sincos_nv8_nt812_prog_7,42,64cf10cbf575ba55f07b1404,64cf11853c61f5c50f2e9a9b,64cf11853c61f5c50f2e9a9b,2.22488339642912 + 1.07608736735358*x5 + 0.982050483123773*x1*x6 + 0.315852043047859*x4*x7 - 0.254189225237498*x3 - 0.0660977746150845*cos(x3) - 2.17094274883872*cos(x8) - 0.866707275171409*x4*x5 - 0.840767983611666*x8*cos(x4) - 1.01358819728798*x2*sin(x8)
./scibench/eureqa/data/equations_trigometric/sincos_nv8_nt812_prog_8,42,64cf10ccf575ba55f07b1407,64cf11e8b3b07116f32e9b4c,64cf11e8b3b07116f32e9b4c,0.476198759833838*x5 + 0.57539226007183*cos(x3) + 0.380377463395987*x2*x4 + 0.62294824291238*x5*cos(x4) - 0.92272734909455 - 0.364412944810487*cos(x6) - 0.867488674971016*sin(x4) - 0.492813091452514*x6*x8 - 0.334761867492354*x3*sin(x2) - 0.574880540351368*x8*sin(x7) - 0.776362945591649*x7*sin(x4)
benchmark,seed,project_id,base_model_id,model_id,solution
./scibench/eureqa/data/equations_trigometric/sincos_nv8_nt812_prog_0,10087,64cf10ccd53ac1afee40fc75,64cf11813c61f5c50f2e9a8d,64cf2b0b44fe1ffa1c2e9ba1,1.46162028233716 + 0.565692902028633*x8 + 0.755791652823411*cos(x6) + 0.887348080757705*x1*x5 + 0.579838245871602*x4*x7 + 0.290418483998814*x4*x8 + 0.604472631147189*x1*cos(x8) + 0.252254534655817*x4*cos(x6) - 0.373948576889116*x4 - 0.500211029249393*x7 - 1.55640003504775*cos(x2) - 0.335029428645176*x1*x3
./scibench/eureqa/data/equations_trigometric/sincos_nv8_nt812_prog_3,10087,64cf10cc881402515840fb01,64cf11f9952623b8fb8198bb,64cf2b0bcd9d43b3a02e9aba,0.428045662767587 + 0.926214345599902*x2 + 0.680147524398728*x3 + 1.37547042916451*cos(x8) + 0.500062062965555*x4*x5 + 0.382942006039117*x5*x6 + 0.860017775305066*x1*cos(x4) + 0.829272578817596*x7*cos(x4) - 0.814241589269492*x7 - 0.515937262247037*x1*x7 - 0.796996192261376*x2*cos(x4) - 0.845080915677985*x7*cos(x6)
