benchmark,seed,project_id,base_model_id,model_id,solution
./scibench/data/unencrypted/equations_others/Livermore2_Vars6_9,10010,64dc1b4e96e812d5360c7971,64dc1bae266387de6586c7b0,64dc1c039381a51f9986c82c,1.46000590683987e38
./scibench/data/unencrypted/equations_others/Livermore2_Vars6_2,10010,64dc1b4c1b27e6ca140c79b3,64dc1bac52e0dea3c78e5e5c,64dc1c019589949805f6a909,2.053042519802*x1*x2 + 1.05364222761037*x1*x4 + 1.55318906243036*x1*sqrt(x6) + 0.998213467663088*x1*x2/x3 - 0.532892549377216
./scibench/data/unencrypted/equations_others/Livermore2_Vars6_7,10010,64dc1b500e7712f4ec7194e0,64dc1bab9381a51f9986c6a7,64dc1c059589949805f6a928,1.0088222529566*x1*sqrt(x1) - 0.0965196965179356 - 0.0412417969801162*x2 - 1.0000611187428*x6^2
./scibench/data/unencrypted/equations_others/Livermore2_Vars6_18,10010,64dc1b4e6c3fec8d057ea1bf,64dc1bad120afe2eeef6aef1,64dc1c0852e0dea3c78e5ef9,0.608402015259321*sqrt(x5/x6) + 1.69849582604747*x1*sqrt(1.21937541360065*x5) - 0.0676101489051613
./scibench/data/unencrypted/equations_others/Livermore2_Vars6_12,10010,64dc1b4f96e812d5360c7976,64dc1baf5593c593088e5a6a,64dc1c609381a51f9986c944,(1.15370920904316*sqrt(x1) + 1.10441806647047*log(sqrt(sqrt(x1))) - 1.00376281319086*x2)/x6 - 0.0359091035266164
./scibench/data/unencrypted/equations_others/Livermore2_Vars6_19,10010,64dc1b4f8855cc58b3719693,64dc1baf120afe2eeef6aeff,64dc1c6702a160b6fd8e5fbb,165.396968276892 + 0.70726299956624*x2^2*x4*cos(x4)*sqrt(x4)*sqrt(x3*x4)
./scibench/data/unencrypted/equations_others/Livermore2_Vars6_6,10010,64dc1b4f768c2c79520c7724,64dc1baf3d57417fdff6ac7c,64dc1c6602a160b6fd8e5fae,13.7868658915692 + 6.98211846903309*log(x1) + 10.6322428181139*x1*log(x3) + (0.225881783356743 - 0.260723361085426*log(x3))/x2 + 3.40078814768996*x1*log(x1 + x1^2) - 15.4801913133234*x1 - 9.25831068040877*log(x3) - 0.992623747451101*x1*log(x2) - 4.76513724384456*log(x1)*log(x3) - 0.993607039986457*x2*x4*log(x1) - 2.26748416338422*x1*log(x3)*log(x1 + x1^2)
./scibench/data/unencrypted/equations_others/Livermore2_Vars6_13,10010,64dc1b4f1b27e6ca140c79bb,64dc1bafc5fddd409186c729,64dc1c7a9589949805f6ab02,1.03266903227825*x5 + 0.931382348084003*x1 + 0.838164527895579*sqrt(x1/x6)/(x2 + x3) - 0.192611627492827
./scibench/data/unencrypted/equations_others/Livermore2_Vars6_16,10010,64dc1b501579bbadd9719509,64dc1baf380129b115f6acf4,64dc1cc8380129b115f6add3,0.999215359696518*x2 + 0.705452887325846*log(x3) - 4.54322339967386 - 0.380726805481211*x6 - 0.998701979583937*x4 - 0.999300324526488*x5 - 1.30916771807721*x1
./scibench/data/unencrypted/equations_others/Livermore2_Vars6_17,10010,64dc1b503d1b3c28c37ea2af,64dc1baf219067e2c2f6aa17,64dc1cccd50105d12c8e5fab,13.639957094176*x1^2*x2^2 - 118.027861404626 - 135.242181993392*x1^2*x2^2*x5
